Jogador,Posicao,Time,Arquivo
Lins,Atacante,Ponte Preta,./Graficos/Lins_Ponte Preta_Atacante.html
Rafael Marques,Atacante,Cruzeiro,./Graficos/Rafael Marques_Cruzeiro_Atacante.html
Negueba,Atacante,Ponte Preta,./Graficos/Negueba_Ponte Preta_Atacante.html
Cuéllar,Meia,Flamengo,./Graficos/Cuéllar_Flamengo_Meia.html
Júnior Viçosa,Atacante,Atlético-GO,./Graficos/Júnior Viçosa_Atlético-GO_Atacante.html
Judson,Meia,Avaí,./Graficos/Judson_Avaí_Meia.html
Henrique,Meia,Cruzeiro,./Graficos/Henrique_Cruzeiro_Meia.html
Jean Mota,Meia,Santos,./Graficos/Jean Mota_Santos_Meia.html
Lucas Lima,Meia,Santos,./Graficos/Lucas Lima_Santos_Meia.html
Jadson,Meia,Ponte Preta,./Graficos/Jadson_Ponte Preta_Meia.html
Igor,Meia,Atlético-GO,./Graficos/Igor_Atlético-GO_Meia.html
Muriqui,Atacante,Vasco,./Graficos/Muriqui_Vasco_Atacante.html
Everton Felipe,Meia,Sport,./Graficos/Everton Felipe_Sport_Meia.html
Paulinho,Atacante,Vitória,./Graficos/Paulinho_Vitória_Atacante.html
Fabián Noguera,Zagueiro,Santos,./Graficos/Fabián Noguera_Santos_Zagueiro.html
Éderson,Atacante,Atlético-PR,./Graficos/Éderson_Atlético-PR_Atacante.html
Túlio de Melo,Atacante,Chapecoense,./Graficos/Túlio de Melo_Chapecoense_Atacante.html
Willians,Atacante,Avaí,./Graficos/Willians_Avaí_Atacante.html
Uillian Correia,Meia,Vitória,./Graficos/Uillian Correia_Vitória_Meia.html
João Paulo,Atacante,Bahia,./Graficos/João Paulo_Bahia_Atacante.html
David,Atacante,Vitória,./Graficos/David_Vitória_Atacante.html
Osman,Atacante,Chapecoense,./Graficos/Osman_Chapecoense_Atacante.html
Ricardo Silva,Zagueiro,Atlético-GO,./Graficos/Ricardo Silva_Atlético-GO_Zagueiro.html
Lincoln,Meia,Grêmio,./Graficos/Lincoln_Grêmio_Meia.html
Marquinhos,Meia,Avaí,./Graficos/Marquinhos_Avaí_Meia.html
Nenén,Meia,Chapecoense,./Graficos/Nenén_Chapecoense_Meia.html
Breno,Zagueiro,Vasco,./Graficos/Breno_Vasco_Zagueiro.html
Lenis,Atacante,Sport,./Graficos/Lenis_Sport_Atacante.html
Rafaelson,Atacante,Vitória,./Graficos/Rafaelson_Vitória_Atacante.html
Hyoran,Meia,Palmeiras,./Graficos/Hyoran_Palmeiras_Meia.html
